customer_id,first_name,last_name,email,phone,address,city,country,registration_date,birth_date,gender,customer_segment
1,Kendra,Cobo,rita55@example.org,+1-268-437-5348x6127,"Urbanización de Belen Castell 6, Vizcaya, 04190",Salamanca,Lituania,2021-11-15,1963-09-28,O,Basic
2,Marcial,Cid,adoracionrosado@example.org,+1-891-835-8562x36208,"Calle Elías Catalá 48, Zaragoza, 29933",Nicolemouth,Papua New Guinea,2023-10-19,1975-01-09,O,Premium
3,Peter,Diego,agustinamontesinos@example.com,+34883 01 32 81,"Cañada Celia Leal 92 Puerta 3 , Lugo, 17690",South Joshuamouth,Yemen,2024-06-21,1966-09-25,O,Standard
4,Amílcar,Armstrong,moraledabonifacio@example.org,+34947 98 54 65,"9862 Hughes Manor, New Brianmouth, IN 22766",Gomezstad,Bulgaria,2023-07-05,1948-07-28,O,Standard
5,Isabela,Kelley,courtneyclark@example.net,+34 884511596,"Urbanización Martín Bastida 2, Córdoba, 36856",South Charleshaven,República de Macedonia del Norte,2023-08-01,1967-03-04,F,Standard
6,Maricela,Alemán,lupitaalarcon@example.com,+34 976131998,"446 Lee Club Suite 905, Ramirezview, KY 11852",Palencia,Kazajstán,2024-08-22,1945-05-05,O,Standard
7,Kayla,Larrañaga,claveromelisa@example.com,+1-238-568-5316,"Ronda Caridad Recio 6 Piso 8 , Navarra, 30819",Segovia,Dinamarca,2021-02-20,1965-02-10,M,Basic
8,Scott,Wolf,erasmo06@example.net,313-787-7644x3750,"4825 Avila Flats, Bryanport, GU 26050",Málaga,Indonesia,2023-06-03,1954-05-15,O,Basic
9,Alexandria,Cerdán,emily96@example.com,621.787.5736x7300,"Vial de Fabiana Esteban 78 Puerta 7 , Vizcaya, 27845",Levitown,República Democrática del Congo,2022-10-30,1951-01-22,F,Premium
10,Lori,Verdugo,taylornicole@example.org,381.692.2907x1258,"411 Christopher Ports, South Katherinemouth, TX 62443",Jaén,Svalbard & Jan Mayen Islands,2025-01-25,1997-12-04,F,Premium
11,Josefa,Ramos,ian36@example.org,001-900-822-7560x23238,"Pasaje Juan Francisco Diaz 58, Albacete, 18335",North Adrian,Federación de Rusia,2022-04-09,1963-02-27,F,Standard
12,María Del Carmen,Johnson,austin99@example.net,546-399-7380x46067,"Via de Cruz Lluch 3, Castellón, 39580",Kimberlymouth,Myanmar,2023-06-06,1952-07-26,M,Premium
13,Ximena,Vendrell,joannamcpherson@example.org,9579561251,"Cuesta de Heraclio Aller 1 Apt. 67 , Baleares, 29010",Ávila,United States Minor Outlying Islands,2020-08-06,2005-10-25,F,Premium
14,Cándida,Terrón,gsolis@example.net,+34985 502 927,"132 Phillips Flats Apt. 529, East Samuelview, OR 37522",Dianeport,Sri Lanka,2024-11-06,1951-03-27,F,Standard
15,Deborah,Blair,dani80@example.org,+34 869 599 665,"5655 Arnold Shores, Jenniferborough, MO 65472",Ourense,Malta,2022-03-20,1998-12-04,M,Standard
16,Cándida,Johnson,plosa@example.com,+34820 78 43 00,"4208 Angelica Well Apt. 195, Montgomeryberg, HI 07241",Nobleview,Madagascar,2023-10-06,1948-02-23,O,Premium
17,Patricia,Castells,fonsecarodrigo@example.net,969-462-6499x69649,"PSC 6864, Box 3276, APO AE 34461",New Katrina,Cuba,2024-03-27,1983-07-14,F,Standard
18,Purificación,Jordan,madelinekrause@example.org,(532)341-0752,"Vial de Ileana Alfaro 86, Barcelona, 28908",Cáceres,Brunei Darussalam,2022-12-16,1951-03-11,M,Premium
19,Morgan,Palacio,vitopolo@example.com,+34 951 456 723,"6671 Reed Brook Suite 593, Nicholsonview, CA 62520",Sevilla,Guyana,2022-12-01,1978-09-18,O,Basic
20,Barbara,Mccoy,guiomartudela@example.org,(932)634-9538,"68476 Ethan Heights Apt. 114, New Nancy, OR 18333",Tarragona,Guinea Ecuatorial,2021-05-11,1982-09-16,F,Premium
21,Agapito,Ibañez,ursula34@example.org,+34 748 170 137,"Pasaje Esperanza Andreu 2, Lleida, 31472",Larryland,Singapur,2021-08-15,1989-12-25,O,Standard
22,Michael,Feijoo,ursulaabella@example.com,+34 902370230,"813 Crawford Vista, Stewartstad, OK 47194",Port Timothy,Portugal,2022-09-18,1999-02-22,O,Basic
23,Shelly,Cerdá,lola85@example.com,+34872 20 44 03,"291 Robert Roads Apt. 236, Coxview, CA 47703",Álava,Niue,2023-08-06,1961-12-02,M,Basic
24,Emma,Harvey,febe42@example.com,9455152528,"64012 Martin Mission Suite 122, Danielmouth, MD 08195",Maryborough,Turkmenistán,2025-02-03,1988-05-28,F,Premium
25,Yaiza,Mascaró,abilionogueira@example.org,+34 984 98 77 27,"Camino Heliodoro Sabater 26 Piso 1 , Ceuta, 02840",Mcclainfurt,Brunei Darussalam,2025-02-25,1989-01-29,M,Basic
26,Teófilo,Sarmiento,jonesrebecca@example.com,+34 883 33 89 61,"Rambla de Carlota Cervantes 44, Málaga, 29010",East Rebeccachester,Thailand,2021-05-13,1964-07-31,O,Premium
27,John,Espejo,rodneycarr@example.org,+34983 75 60 17,"Plaza Casandra Cid 53, La Rioja, 21158",New Jenniferburgh,Islandia,2021-01-09,1984-12-20,O,Basic
28,Raquel,Tur,baezamaria-angeles@example.org,+34 874 035 971,"1545 Carlos Mountains Suite 043, Lukeborough, VI 87132",Hortonmouth,Papua New Guinea,2024-04-26,1995-04-28,F,Basic
29,Shannon,Lynn,danielwelch@example.com,+34 945 830 647,"PSC 0533, Box 4841, APO AA 92400",Powersville,Benin,2025-01-07,1965-03-25,O,Premium
30,Sarah,Cadenas,johnsonkatherine@example.net,+34 820 741 655,"Glorieta de Alejandro Castrillo 41 Piso 9 , Zamora, 37744",Álava,Bouvet Island (Bouvetoya),2021-09-21,2006-06-20,M,Premium
31,Albino,Robinson,jason42@example.net,+34 876883825,"Cañada Fanny Yuste 61, Burgos, 23623",Cuenca,Chad,2020-07-16,1961-05-30,O,Premium
32,Cesar,Lee,reynaldo67@example.org,+1-462-540-3399x571,"Rambla Amador Alberdi 36 Piso 6 , Castellón, 25650",Chrishaven,Malta,2024-02-27,1990-11-03,M,Basic
33,Gary,Carrasco,valdezsara@example.net,+34838974257,"95721 Jacqueline Greens Apt. 530, Port Courtneyview, CA 63129",West Alexandertown,Sierra Leona,2021-06-11,1966-11-28,M,Basic
